Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax,PercentUsed
49ers,2013,12,4,0,Good,2843160.00,9257768.00,16945177.00,10569598.00,17479156.00,57094859.00,11028483.00,17860800.00,10696955.00,12885741.00,52471979.00,6831666.00,6601496.00,116398504.00,123000000.00,0.946329301
Bears,2013,8,8,0,Mediocre,11276471.00,12036166.00,16580067.00,2495000.00,10071052.00,52458756.00,29744128.00,12474915.00,3802254.00,15375000.00,61396297.00,6290000.00,2854947.00,120145053.00,123000000.00,0.976789049
Bengals,2013,11,5,0,Good,2760833.00,5750703.00,8628272.00,5005166.00,22288147.00,44433121.00,38698754.00,8370673.00,5834061.00,16118302.00,69021790.00,5660000.00,3885089.00,119114911.00,123000000.00,0.968413911
Bills,2013,6,10,0,Bad,4663940.00,8362867.00,8979223.00,4489668.00,14455361.00,40951059.00,29011040.00,6284838.00,10503423.00,7069748.00,52869049.00,2358844.00,26821048.00,96178952.00,123000000.00,0.781942699
Broncos,2013,13,3,0,Good,18716295.00,5013752.00,10120554.00,8013902.00,25448424.00,67312927.00,12040751.00,12951882.00,5858346.00,17559225.00,48410204.00,5793833.00,1483036.00,121516964.00,123000000.00,0.987942797
Browns,2013,4,12,0,Bad,4171299.00,2200883.00,5665825.00,2620527.00,23789034.00,38447568.00,21502679.00,20237182.00,2398318.00,10928931.00,55067110.00,2015000.00,27470322.00,95529678.00,123000000.00,0.776664049
Buccaneers,2013,4,12,0,Bad,1184375.00,4644753.00,13771326.00,2393504.00,25305673.00,47299631.00,19183871.00,6396562.00,13033579.00,19419921.00,58033933.00,4810000.00,12856436.00,110143564.00,123000000.00,0.89547613
Cardinals,2013,10,6,0,Good,6172993.00,5306754.00,15022466.00,4353078.00,19069690.00,49924981.00,20498000.00,13311655.00,2809618.00,10407900.00,47027173.00,4716666.00,21331180.00,101668820.00,123000000.00,0.826575772
Chargers,2013,9,7,0,Mediocre,15996516.00,8212583.00,10926398.00,8795715.00,17428226.00,61359438.00,6241425.00,18315172.00,11490435.00,4839588.00,40886620.00,5652500.00,15101442.00,107898558.00,123000000.00,0.877224049
Chiefs,2013,11,5,0,Good,10708333.00,6779755.00,7268150.00,3435650.00,20708982.00,48900870.00,13759289.00,22533136.00,13251425.00,13096878.00,62640728.00,3888750.00,7569652.00,115430348.00,123000000.00,0.938458114
Colts,2013,11,5,0,Good,8524545.00,7237379.00,11908481.00,2615661.00,18601449.00,48887515.00,13140390.00,20991429.00,13323235.00,9596407.00,57051461.00,6857000.00,10204024.00,112795976.00,123000000.00,0.917040455
Cowboys,2013,8,8,0,Mediocre,13818982.00,2257011.00,8120768.00,5623758.00,19470710.00,49291229.00,5814913.00,26468546.00,3220898.00,13029474.00,48533831.00,2095833.00,23079107.00,99920893.00,123000000.00,0.812364984
Dolphins,2013,8,8,0,Mediocre,5859205.00,2412352.00,8242874.00,6007127.00,17638011.00,40159569.00,27792257.00,9006508.00,5027138.00,13351955.00,55177858.00,3179890.00,24482683.00,98517317.00,123000000.00,0.800953797
Eagles,2013,10,6,0,Good,13385137.00,10184362.00,19199989.00,5509036.00,25664899.00,73943423.00,14205767.00,11292817.00,6920158.00,6032738.00,38451480.00,2320027.00,8285070.00,114714930.00,123000000.00,0.932641707
Falcons,2013,4,12,0,Bad,10920140.00,6293062.00,17406642.00,6938146.00,16471155.00,58029145.00,17946068.00,8433728.00,7249890.00,9276181.00,42905867.00,4022283.00,18042705.00,104957295.00,123000000.00,0.853311341
Giants,2013,7,9,0,Mediocre,21998400.00,5036739.00,8677626.00,2998913.00,24235900.00,62947578.00,14642808.00,7916847.00,12704990.00,11202110.00,46466755.00,3494000.00,10091667.00,112908333.00,123000000.00,0.917953927
Jaguars,2013,4,12,0,Bad,8347588.00,8982941.00,6832868.00,7160882.00,14764080.00,46088359.00,13923225.00,13544999.00,3396626.00,2807072.00,33671922.00,4368871.00,38870848.00,84129152.00,123000000.00,0.683976846
Jets,2013,8,8,0,Mediocre,14759015.00,4154535.00,12811933.00,2593765.00,21528632.00,55847880.00,5447833.00,19656284.00,3028114.00,12965418.00,41097649.00,1672352.00,24382119.00,98617881.00,123000000.00,0.80177139
Lions,2013,7,9,0,Mediocre,21556666.00,3987009.00,15281546.00,4207277.00,13221451.00,58253949.00,22485856.00,10479067.00,4758334.00,6133807.00,43857064.00,1685075.00,19203912.00,103796088.00,123000000.00,0.843870634
Packers,2013,8,7,1,Mediocre,13013000.00,2429420.00,10223980.00,11341695.00,17540974.00,54549069.00,16546195.00,21036760.00,5083802.00,13957143.00,56623900.00,4276250.00,7550781.00,115449219.00,123000000.00,0.938611537
Panthers,2013,12,4,0,Good,7579454.00,11315450.00,10702213.00,4325000.00,18885126.00,52807243.00,16170994.00,12890911.00,6639853.00,3244456.00,38946214.00,2079670.00,29166873.00,93833127.00,123000000.00,0.762870951
Patriots,2013,12,4,0,Good,14603953.00,3682367.00,8749814.00,4150882.00,22775490.00,53962506.00,21590202.00,10801171.00,7386653.00,8618787.00,48396813.00,4360500.00,16280181.00,106719819.00,123000000.00,0.867640805
Raiders,2013,4,12,0,Bad,1146517.00,11660884.00,4609651.00,1496363.00,10275023.00,29188438.00,7242262.00,6548030.00,6752294.00,6688580.00,27231166.00,6491166.00,60089230.00,62910770.00,123000000.00,0.511469675
